Time[sec],package0-bigcore-CPU0-INST_RETIRED.ANY,package0-bigcore-CPU0-CPU_CLK_UNHALTED.THREAD,package0-bigcore-CPU0-CPU_CLK_UNHALTED.REF_TSC,package0-bigcore-CPU0-DTLB_LOAD_MISSES.WALK_PENDING,package0-bigcore-CPU0-TOPDOWN.SLOTS:perf_metrics,package0-bigcore-CPU0-IDQ.DSB_UOPS:u0x2C,package0-bigcore-CPU0-L1D.REPLACEMENT,package0-bigcore-CPU0-L2_RQSTS.REFERENCES,package0-bigcore-CPU0-FP_ARITH_DISPATCHED.PORT_0:u0x43,package0-bigcore-CPU0-UOPS_EXECUTED.CORE,package0-bigcore-CPU1-INST_RETIRED.ANY,package0-bigcore-CPU1-CPU_CLK_UNHALTED.THREAD,package0-bigcore-CPU1-CPU_CLK_UNHALTED.REF_TSC,package0-bigcore-CPU1-DTLB_LOAD_MISSES.WALK_PENDING,package0-bigcore-CPU1-TOPDOWN.SLOTS:perf_metrics,package0-bigcore-CPU1-IDQ.DSB_UOPS:u0x2C,package0-bigcore-CPU1-L1D.REPLACEMENT,package0-bigcore-CPU1-L2_RQSTS.REFERENCES,package0-bigcore-CPU1-FP_ARITH_DISPATCHED.PORT_0:u0x43,package0-bigcore-CPU1-UOPS_EXECUTED.CORE,Frequency0,DTS0,DTS1,DTS2,DTS3,DTS5,ratio,Frequency[MHz],cycles
0.0,173336,308915,440685,39900.0,1158024.0,246346.0,7705.0,30067.0,39.0,400601.0,1347672.0,1009353.0,509481.0,142815.0,5173818.0,1602333.0,46315.0,129640.0,2977.0,1803293.0,1695.8307362401717,61.05357142857143,61.723214285714285,61.88392857142857,61.86607142857143,63.294642857142854,10.25,1025.0,2253022615814.0
0.015000000000000568,137057,379239,488313,51949.0,1338474.0,242337.0,7932.0,31992.0,39.0,461534.0,1435915.0,1065560.0,556290.0,143087.0,5402472.0,1616169.0,48751.0,132459.0,2912.0,1837115.0,1878.8256483034447,61.0377358490566,61.990566037735846,61.75471698113208,61.83018867924528,63.235849056603776,9.584905660377359,958.4905660377359,2132345587152.0
0.030999999999998806,205427,318895,437913,38512.0,1215942.0,274741.0,7812.0,29088.0,32.0,432501.0,1334313.0,1013257.0,520317.0,148211.0,5118042.0,1526501.0,46883.0,127131.0,2391.0,1765570.0,1761.6987483815278,61.0,61.68421052631579,62.1578947368421,61.73684210526316,63.43859649122807,11.68421052631579,1168.421052631579,2293299696473.0
0.046999999999997044,175204,304030,430857,37846.0,1099254.0,243775.0,7710.0,28652.0,37.0,400249.0,1347455.0,985074.0,502173.0,142216.0,5116266.0,1537284.0,46229.0,125034.0,2426.0,1738130.0,1707.0846615002195,61.0625,61.42857142857143,61.9375,61.49107142857143,63.5,11.0,1100.0,2253088947040.0
0.06199999999999761,174914,282942,421785,36185.0,1048446.0,231999.0,7511.0,27331.0,35.0,384118.0,1347855.0,979276.0,501921.0,139616.0,5048256.0,1533335.0,46236.0,124131.0,2334.0,1752146.0,1622.8488125466765,61.132075471698116,61.594339622641506,61.905660377358494,61.801886792452834,63.5,11.169811320754716,1116.9811320754718,2132408364273.0
0.07799999999999585,642947,1078963,825048,128106.0,3565188.0,850457.0,23132.0,86067.0,331.0,2172315.0,1343440.0,1221622.0,624519.0,162924.0,3937056.0,1482109.0,46515.0,129971.0,2491.0,2315258.0,3163.7277947464872,60.964285714285715,61.482142857142854,61.910714285714285,61.919642857142854,63.392857142857146,10.25,1025.0,2253132500581.0
0.0940000000000012,796027,1462077,1157373,138669.0,5003208.0,1115664.0,28994.0,110431.0,335.0,2617693.0,1443862.0,1402653.0,679959.0,169228.0,4727784.0,1601993.0,50475.0,147262.0,2598.0,2537085.0,3056.1078221109356,60.6140350877193,61.39473684210526,61.63157894736842,60.99122807017544,62.719298245614034,11.68421052631579,1168.421052631579,2293390092571.0
0.10900000000000176,687130,1134867,888993,133035.0,3776940.0,896368.0,23802.0,89631.0,336.0,2235808.0,1355598.0,1334896.0,666099.0,179898.0,4394376.0,1535956.0,48530.0,140868.0,2533.0,2430176.0,3088.2923109630783,60.70754716981132,61.367924528301884,61.64150943396226,61.34905660377358,63.20754716981132,9.584905660377359,958.4905660377359,2132471507428.0
0.125,190967,295641,436716,35718.0,1115286.0,258203.0,7312.0,28935.0,33.0,409042.0,1328360.0,993607.0,506394.0,143323.0,5117448.0,1515648.0,46404.0,126926.0,2813.0,1735489.0,1637.7112521638776,60.75,61.482142857142854,61.5625,61.19642857142857,62.6875,9.5,950.0,2253199218999.0
0.14000000000000057,178541,312655,447300,37295.0,1179606.0,256454.0,7631.0,30042.0,37.0,394308.0,1343330.0,1007564.0,514206.0,139041.0,5122170.0,1553623.0,45683.0,123427.0,2450.0,1773183.0,1690.9791549295776,60.716981132075475,61.27358490566038,61.65094339622642,61.4622641509434,62.89622641509434,9.584905660377359,958.4905660377359,2132512784974.0
