# SYSTEM INFORMATION FOLLOWS
# emon db : alderlake
# num_packages : 1
# num_modules_per_package : 1
# num_cores_per_package : 12
# num_logic_processor_per_core : 2
# device bigcore : num_events 10, num_metrics 8, num_unit 1
# device smallcore : num_events 10, num_unit 1
# tsc_freq : 2419.20 MHz
# ufs_freq : N/A MHz
# END OF SYSTEM INFORMATION
# GROUPING INFORMATION FOLLOWS
# group 0 : INST_RETIRED.ANY, CPU_CLK_UNHALTED.THREAD, CPU_CLK_UNHALTED.REF_TSC, DTLB_LOAD_MISSES.WALK_PENDING, TOPDOWN.SLOTS:perf_metrics, IDQ.DSB_UOPS:u0x2C, L1D.REPLACEMENT, L2_RQSTS.REFERENCES, FP_ARITH_DISPATCHED.PORT_0:u0x43, UOPS_EXECUTED.CORE, PERF_METRICS.RETIRING, PERF_METRICS.BAD_SPECULATION, PERF_METRICS.FRONTEND_BOUND, PERF_METRICS.BACKEND_BOUND, PERF_METRICS.HEAVY_OPERATIONS, PERF_METRICS.BRANCH_MISPREDICTS, PERF_METRICS.FETCH_LATENCY, PERF_METRICS.MEMORY_BOUND
# END OF GROUPING INFORMATIONS
# START OF COLLECTION
timestamp;;package0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;bigcore;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
epoch;timestamp;CPU0;;;;;;;;;;;;;;;;;;CPU1;;;;;;;;;;;;;;;;;;
;;INST_RETIRED.ANY;CPU_CLK_UNHALTED.THREAD;CPU_CLK_UNHALTED.REF_TSC;DTLB_LOAD_MISSES.WALK_PENDING;TOPDOWN.SLOTS:perf_metrics;IDQ.DSB_UOPS:u0x2C;L1D.REPLACEMENT;L2_RQSTS.REFERENCES;FP_ARITH_DISPATCHED.PORT_0:u0x43;UOPS_EXECUTED.CORE;PERF_METRICS.RETIRING;PERF_METRICS.BAD_SPECULATION;PERF_METRICS.FRONTEND_BOUND;PERF_METRICS.BACKEND_BOUND;PERF_METRICS.HEAVY_OPERATIONS;PERF_METRICS.BRANCH_MISPREDICTS;PERF_METRICS.FETCH_LATENCY;PERF_METRICS.MEMORY_BOUND;INST_RETIRED.ANY;CPU_CLK_UNHALTED.THREAD;CPU_CLK_UNHALTED.REF_TSC;DTLB_LOAD_MISSES.WALK_PENDING;TOPDOWN.SLOTS:perf_metrics;IDQ.DSB_UOPS:u0x2C;L1D.REPLACEMENT;L2_RQSTS.REFERENCES;FP_ARITH_DISPATCHED.PORT_0:u0x43;UOPS_EXECUTED.CORE;PERF_METRICS.RETIRING;PERF_METRICS.BAD_SPECULATION;PERF_METRICS.FRONTEND_BOUND;PERF_METRICS.BACKEND_BOUND;PERF_METRICS.HEAVY_OPERATIONS;PERF_METRICS.BRANCH_MISPREDICTS;PERF_METRICS.FETCH_LATENCY;PERF_METRICS.MEMORY_BOUND;;;;;;;;;;;;;;;;;;;;;
1661768458679;67858420;182964;228426;482895;14471;1290852;259007;4079;21058;0;258632;40;25;120;72;8;24;96;31;9958;28593;53928;1914;78774;21350;377;1708;0;258275;54;26;112;39;25;25;79;9;
1661768458694;37714897;114364;127775;236187;10414;547728;155957;2559;9522;0;269572;61;23;108;59;14;22;76;23;85806;114543;195552;9996;400626;132150;1587;7127;0;266764;63;33;130;35;15;31;94;14;
1661768458710;37653492;96953;90754;184716;8165;464724;128171;1759;7025;0;207552;62;18;91;84;15;16;60;34;61051;45590;61362;3332;193728;79795;495;1502;0;207054;89;22;107;38;19;20;67;11;
1661768458726;37713420;105296;108784;199206;8774;460722;136229;2395;7904;0;248046;68;17;98;71;16;15;66;26;84955;89893;154224;6205;302118;117074;1596;4529;0;247254;82;24;105;47;19;22;66;19;
1661768458741;37667131;96683;86189;170226;8096;438354;124593;1722;6541;0;201777;66;14;84;92;16;11;54;36;60916;44227;59535;3336;187932;77034;491;1331;0;200993;92;18;105;42;19;16;65;13;
1661768458757;37725579;106322;104638;199521;8521;441576;137725;2353;7468;0;247853;72;15;96;72;17;12;63;28;84552;85476;155862;6224;293130;113699;1523;3642;0;247105;86;19;108;43;21;17;66;13;
1661768458772;37666485;96429;85261;169218;8082;431640;120334;1647;6375;0;200628;67;12;83;93;16;10;54;37;60916;44206;59535;3387;187560;76614;520;1334;0;200088;92;18;103;43;19;15;62;14;
1661768458788;37738451;110085;115552;212121;9220;483894;145516;2449;8437;0;253097;68;15;104;62;16;14;72;24;84441;95871;155295;6554;312318;113377;1508;5566;0;248198;78;22;126;38;17;19;88;16;
