# SYSTEM INFORMATION FOLLOWS
# emon db : unknown
# num_packages : 1
# num_modules_per_package : 1
# num_cores_per_package : 16
# num_logic_processor_per_core : 2
# device core : num_events 3, num_unit 1
# tsc_freq : 2995.20 MHz
# ufs_freq : N/A MHz
# END OF SYSTEM INFORMATION
# GROUPING INFORMATION FOLLOWS
# group 0 : INST_RETIRED.ANY, CPU_CLK_UNHALTED.THREAD, CPU_CLK_UNHALTED.REF_TSC
# END OF GROUPING INFORMATIONS
# START OF COLLECTION
timestamp;;package0;;;;;;
;;core;;;;;;
epoch;timestamp;CPU0;;;CPU1;;;
;;INST_RETIRED.ANY;CPU_CLK_UNHALTED.THREAD;CPU_CLK_UNHALTED.REF_TSC;INST_RETIRED.ANY;CPU_CLK_UNHALTED.THREAD;CPU_CLK_UNHALTED.REF_TSC;
1663595016012;69303230;134988;211060;348192;28794;43528;24180;
1663595016027;46755567;111608;103401;132210;30988;50281;28002;
1663595016043;46777615;110146;101871;131040;22593;38476;21450;
1663595016059;46768513;104219;85896;128622;22589;38745;21528;
1663595016074;46773957;104207;84893;131196;22548;36821;20436;
1663595016090;46762291;106593;90450;123474;22544;37597;20748;
1663595016105;46805199;26216347;27153309;15199392;20188;32864;19734;
1663595016121;46739467;104116;82003;143520;22865;34071;27768;
1663595016137;46771403;112839;93557;145704;22558;34970;23556;
1663595016152;46750009;118862;102980;186654;22554;36947;20514;
1663595016168;46780975;104168;84146;131040;22589;37989;21138;
1663595016184;46774191;105400;86863;134082;22558;36908;20592;
1663595016199;46770031;105892;86333;133302;22548;36759;20436;
1663595016215;46755919;104059;83064;118326;22544;36352;20202;
1663595016230;46780581;104320;83008;126984;22558;36539;20280;
1663595016246;46791087;46325;150060;158184;101303;137536;123630;
1663595016262;46756600;103920;120112;148122;1663896;1300158;722592;
1663595016277;46766209;112868;102744;132210;22828;39021;21762;
1663595016293;46761179;110051;111067;196014;41042;84471;92352;
1663595016309;46794700;110058;109415;173472;26200936;26947301;14980992;
1663595016328;59503573;251761;22289769;12720786;33952;40048;33462;
1663595016344;46743729;104086;84127;148980;22750;34159;27690;
1663595016360;46757691;96833;96660;138060;47665;177572;153036;
1663595016375;46706690;580290;1186176;772044;1484178;1919119;1066572;
1663595016391;46755861;104007;87149;121134;22904;38986;21762;
1663595016407;46777157;112853;98750;126828;22558;37284;20748;
1663595016422;46766325;120515;106859;197418;22558;37857;21060;
1663595016438;46787309;45894;132460;147030;101205;118744;107952;
1663595016453;46760208;105806;111624;138216;33992;109671;60996;
1663595016469;46771999;103967;85128;127686;22648;37090;20514;
1663595016485;46762595;104036;83080;119340;22544;36779;20436;
1663595016500;46771035;104244;84143;119886;22558;38057;21138;
1663595016516;46775035;96762;92250;124722;40247;70519;76440;
1663595016532;46788807;98116;94873;142740;43403;85594;102648;
1663595016547;46759205;77833;141326;151008;101209;120253;85488;
1663595016563;46757474;126575;139967;217074;375462;381037;211770;
1663595016578;46770487;104677;84770;129012;22724;36635;20358;
1663595016594;46764353;104042;84786;121914;22558;37941;21138;
1663595016610;46779203;104033;84271;130260;22544;36924;20514;
1663595016625;46763799;96561;92862;123630;39825;83393;89544;
1663595016641;46759201;105719;87443;121134;22499;37513;20904;
1663595016657;46769433;104057;83895;119262;22563;36755;20436;
1663595016672;46787635;104095;84782;135954;22550;38188;21138;
1663595016688;46775383;112710;93792;139854;22558;36547;20280;
1663595016703;46767447;118501;99151;192738;22544;36871;20436;
1663595016719;46755395;104066;84412;120900;22558;39306;21840;
1663595016735;46771527;104652;82654;120510;22544;37226;20748;
1663595016750;46781567;105657;84065;130806;22558;37956;21060;
1663595016766;46773221;99487;98160;134316;55005;90342;103740;
1663595016782;46757506;129306;162584;163722;78137;168019;93366;
1663595016797;46786453;104010;84005;136656;22634;36937;20592;
1663595016813;46774943;104016;85716;142272;22544;36620;20358;
1663595016828;46760293;112939;90790;130572;22544;36853;20514;
1663595016844;46765847;118430;98578;180258;22544;37854;21138;
1663595016860;46769955;105598;85052;124722;22544;36873;20514;
1663595016875;46765157;104052;83025;118404;22544;37109;20592;
1663595016891;46775341;104640;82577;122460;22544;36030;20046;
1663595016907;46771547;104154;82509;123084;22544;36698;20358;
1663595016922;46773933;104290;87361;126282;22544;37550;20904;
1663595016938;46787429;107609;122364;143598;39814;111011;94146;
1663595016953;46772226;316599;668545;448032;996566;1362389;785616;
1663595016969;46762252;149449;238708;211458;49118;159258;88530;
1663595016985;46780317;72915;161679;245622;98991;130549;123552;
1663595017000;46769014;360653;1188743;733902;7264792;5073846;2820168;
1663595017016;46740617;104243;104135;136968;22916;44755;24804;
1663595017031;46760431;104129;90150;123786;141239;171045;95082;
1663595017047;46770219;106731;91754;123006;22634;37240;20592;
1663595017063;46772659;104065;84991;125424;22558;37077;20592;
1663595017078;46769263;105655;88901;124176;22544;36488;20280;
1663595017094;46780217;104123;84515;134238;22544;36952;20436;
1663595017110;46785089;114049;121454;147810;22548;37093;20592;
1663595017125;46795673;26204203;27090705;15178878;20223;39144;23166;
1663595017141;46722709;96852;93937;138294;40707;84255;99216;
1663595017156;46756658;109802;116736;140634;28416;60058;33384;
1663595017172;46773777;104112;83941;126750;22589;37786;21060;
1663595017188;46768159;105752;85794;123708;22544;36553;20358;
1663595017203;46769483;104736;84084;122616;22544;36795;20514;
1663595017219;46770591;104183;83310;122226;22544;36945;20592;
1663595017235;46782283;103997;83924;132912;22544;37532;20826;
1663595017250;46763711;112965;93453;126126;22558;37676;20982;
1663595017266;46763781;118500;99924;180414;22546;36342;20202;
1663595017281;46779455;104142;83562;127218;22549;37220;20592;
1663595017297;46768657;105803;86938;124410;22544;36872;20436;
1663595017313;46771045;95644;94493;125346;53922;88149;95550;
1663595017328;46782880;108623;106504;163254;26030257;26914978;14962974;
1663595017348;59492649;242479;22163244;12709164;33962;41260;34320;
1663595017364;46740933;96786;93597;139932;62886;84546;103974;
1663595017379;46759570;137403;143875;161538;30731;67162;37206;
1663595017395;46758519;118429;99470;181584;22603;36989;20592;
1663595017411;46772401;105761;85672;123084;22550;36893;20514;
1663595017426;46768545;104317;83844;120588;22544;36353;20124;
1663595017442;46770561;104138;84778;120510;22544;37348;20748;
1663595017458;46805487;63559;131592;162474;101074;120733;125034;
1663595017473;46727450;103373;86068;120978;21237;31550;17472;
1663595017489;46777065;96188;93564;127296;48576;86232;95472;
1663595017504;46765726;107741;103702;146484;26278;49120;27222;
1663595017520;46763545;115239;94260;127998;22591;36802;20358;
1663595017536;46772743;118526;100071;187668;22558;37425;20748;
1663595017551;46765237;104072;83300;123708;22589;37298;20670;
1663595017567;46774663;104306;84379;127686;22544;36615;20358;
1663595017583;46766745;104224;83212;123630;22544;36049;19968;
1663595017598;46767275;104228;84199;120276;22563;36951;20592;
1663595017614;46776379;97039;93589;125346;44772;84045;88842;
1663595017629;46980876;250863;711661;557232;81917;533177;432900;
1663595017645;46547759;106665;89595;122304;22693;37411;20748;
1663595017661;46787093;113021;95345;138450;22544;36363;20280;
1663595017676;46752321;119065;101790;184626;22548;37550;20904;
1663595017692;46776943;104261;84772;125658;22603;36643;20358;
1663595017708;46764201;104212;83826;118794;22558;36831;20514;
1663595017723;46775441;104168;83892;123006;22544;36753;20514;
1663595017739;46771941;105823;85903;123786;22544;36302;20202;
1663595017754;46765767;104164;84399;118638;22544;37418;20748;
1663595017770;46798183;99900;97009;145860;58627;88738;114816;
1663595017786;46749560;129338;153597;161772;70195;123124;68406;
1663595017801;46769071;112857;91106;123318;22634;36594;20280;
1663595017817;46770173;119624;100755;177138;22544;37331;20748;
1663595017833;46771085;104686;83414;121446;22589;36519;20280;
1663595017848;46770647;106748;87218;121134;22558;36360;20202;
1663595017864;46790731;131984;119166;141180;44601;90468;50232;
1663595017879;46747322;185182;326386;291096;112024;236872;131742;
1663595017895;46784893;103972;84806;133380;22744;41437;23010;
1663595017911;46758417;104247;84262;122382;22549;38963;21606;
1663595017926;46772543;104239;88185;124644;22544;37185;20670;
1663595017942;46802535;99137;154599;165828;101301;133337;93054;
1663595017958;46738562;491398;499852;407472;37749;106215;59046;
1663595017973;46782047;66904;126538;142038;98939;113917;103896;
1663595017989;46766036;206076;408219;301782;130090;393089;218478;
1663595018004;46764991;104051;85644;121992;22724;37870;21060;
1663595018020;46770941;104022;85585;121758;22546;37905;21060;
1663595018036;46775675;104353;85181;126282;22558;36954;20592;
1663595018051;46767343;104152;83230;122070;22558;37917;21060;
1663595018067;46773181;105647;87345;124800;143793;160997;89544;
1663595018083;46790381;106614;115708;143988;42398;73960;41184;
1663595018098;46754243;110438;114053;198510;37843;87388;96096;
1663595018114;46773226;6071532;5354903;3050814;37616;93000;51714;
1663595018129;46765523;104767;91290;143832;22738;41018;22776;
1663595018145;46796631;25806168;27073112;15161952;20193;34643;20670;
1663595018161;46739365;104272;83071;150696;22859;34362;28080;
1663595018176;46743191;105642;86587;124722;22558;35127;23868;
1663595018192;46779249;104155;84340;129090;22544;37931;21060;
1663595018207;46793227;104008;85370;151710;22544;36770;20436;
1663595018223;46751179;112909;106857;131742;22549;36971;20436;
1663595018239;46764753;120599;109231;202956;22603;39170;21840;
1663595018254;46775987;104098;83043;130572;22603;36755;20514;
1663595018270;46758557;104031;84730;118638;22546;37368;20748;
1663595018286;46788209;105627;86265;135720;22544;38056;21216;
1663595018301;46763291;104820;85302;127452;22544;36714;20436;
1663595018317;46770535;104171;82746;126594;22550;36398;20280;
1663595018332;46772507;95747;93302;129246;53551;85754;99762;
1663595018348;46783658;108613;103762;165672;26175653;26914544;14962740;
1663595018368;59523721;243099;22331331;12740676;60038;158701;191490;
1663595018384;46654619;202336;215032;307398;74640;126657;104910;
1663595018399;46740965;105837;84525;122616;22679;36284;23010;
1663595018415;46773457;104127;83840;121914;22550;36915;20514;
1663595018430;46780499;104162;83641;131274;22544;36753;20358;
1663595018446;46764195;104201;83548;124254;22544;36308;20124;
1663595018462;46766817;105258;85645;120276;22544;36544;20358;
1663595018477;46786445;60187;118261;138840;98972;105976;100152;
1663595018493;46761342;103498;85414;129246;21335;33712;18720;
1663595018509;46792787;114665;93348;150930;22544;37309;20592;
1663595018524;46746391;118537;98768;181584;22546;36915;20436;
1663595018540;46775999;108201;104413;131352;42523;87892;63570;
1663595018555;46757262;140584;170833;176124;47265;101699;56550;
1663595018571;46759865;104146;83954;119730;22634;39130;21840;
1663595018587;46772713;104277;83877;121758;22544;37101;20670;
1663595018602;46772309;104285;83604;123006;22548;37233;20670;
1663595018618;46776535;106699;87223;128778;22544;36782;20514;
1663595018634;46769423;96260;92500;127998;47587;90854;98514;
1663595018649;46764097;112976;94632;124020;22505;39449;21918;
1663595018665;46775871;118370;99734;185796;22544;36589;20436;
1663595018680;46762153;104101;85240;119652;22550;37032;20592;
1663595018696;46771939;104401;84184;120432;22544;37152;20670;
1663595018712;46778331;104202;84035;127764;22544;36296;20124;
1663595018727;46763087;105732;86948;120276;22544;37347;20826;
1663595018743;46781057;104323;83480;129480;22548;37627;20982;
1663595018759;46766913;96987;89593;125112;40354;65481;79326;
1663595018774;46785289;100358;97838;139776;68569;90629;110292;
1663595018790;46757262;135008;143774;155688;52155;88635;49296;
1663595018805;46776673;118465;98222;187122;22589;37240;20670;
1663595018821;46758227;104223;82492;119886;22548;36172;20124;
1663595018837;46780867;107664;88931;129948;22548;36226;20046;
1663595018852;46762191;104149;83095;121056;22553;36868;20514;
1663595018868;46773633;104185;82629;124332;22544;36525;20358;
1663595018884;46774709;104166;82844;128856;22544;35976;19968;
1663595018899;46784603;104209;84297;143052;22558;36562;20358;
1663595018915;46751023;104153;83253;122694;22544;36072;20124;
1663595018930;46782673;113684;96063;134394;22558;36733;20514;
1663595018946;46771637;69148;101989;173784;95128;101654;89466;
1663595018962;46763188;51755;74094;116922;93835;88328;95394;
1663595018977;46755280;103228;84175;119808;21199;30999;17238;
1663595018993;46784241;71590;115130;136422;95830;102140;99918;
1663595019009;46758926;103697;85841;127452;21228;32976;18330;
1663595019024;46765075;104312;84246;121446;22546;36709;20436;
1663595019040;46771773;104167;84253;121680;22544;36459;20202;
1663595019055;46768625;105990;85859;119730;22544;36355;20202;
1663595019071;46776245;112908;92759;126360;22558;36971;20592;
1663595019087;46773035;119290;99779;184314;91820;86522;48048;
1663595019102;46773463;104404;83886;130182;22544;37438;20748;
1663595019118;46766829;104246;83961;125970;22544;36934;20514;
1663595019134;46766675;104189;83902;121524;22544;37423;20904;
1663595019149;46774713;104933;84920;125580;22544;36679;20436;
1663595019165;46803137;26418965;27046922;15139254;20326;31873;19266;
1663595019180;46746939;104208;82199;148278;22859;34167;27768;
1663595019196;46748071;104181;82223;127062;22558;34686;23400;
1663595019212;46783345;113399;93212;135408;22558;37749;20982;
1663595019227;46757661;118608;103305;132912;22550;37512;20826;
1663595019243;46767973;104999;84426;119262;22589;36825;20514;
1663595019259;46770375;104256;83326;118326;22544;36845;20514;
1663595019274;46779043;105694;86610;126594;22560;37891;20982;
1663595019290;46765401;104265;84387;121056;22544;37478;20826;
1663595019305;46769393;104218;83479;119106;22544;37628;20826;
1663595019321;46773045;104189;83554;120822;22544;36649;20358;
1663595019337;46778003;104199;84592;127998;22544;36795;20436;
1663595019352;46795735;104558;99089;152880;57566;84678;96954;
1663595019368;46753254;114780;136049;170274;25918973;26968421;15056418;
1663595019388;59462481;241663;22577754;12679290;46306;59431;42198;
1663595019403;46741647;104865;82789;150462;22755;33904;27612;
1663595019419;46748949;106118;83852;130182;22544;34815;23634;
1663595019435;46769909;104083;83437;124488;22558;36692;20514;
1663595019450;46772309;104350;84263;125814;22544;36795;20514;
1663595019466;46769853;104215;84433;124722;22550;37974;21216;
1663595019481;46770907;112895;90554;124176;22555;37222;20748;
1663595019497;46788213;87230;121074;192894;95137;104477;104130;
1663595019513;46749100;95222;94796;126594;35894;80930;92586;
1663595019528;46766982;95284;88374;124254;38889;65361;80574;
1663595019544;46777655;96581;93875;134628;49164;88475;101868;
1663595019560;46754446;140974;180242;177372;69982;168689;93756;
1663595019575;46765161;104242;85032;121446;22648;41455;23010;
1663595019591;46768477;104090;83931;120042;22979;40382;22464;
1663595019606;46775889;105909;86526;125502;22544;38130;21216;
1663595019622;46779477;113070;93991;134628;22550;37331;20826;
1663595019638;46765691;110476;108251;186420;47644;87429;98904;
1663595019653;46760907;104416;86095;120510;22589;39583;22074;
1663595019669;46774817;104242;83944;124020;22558;37013;20670;
1663595019685;46770087;109992;90925;123240;22544;37805;21060;
1663595019700;46767497;104321;84842;119496;22554;36210;20124;
1663595019716;46774055;106511;87026;123630;22548;37724;20982;
1663595019731;46769639;104327;85929;122616;22550;37304;20826;
1663595019747;46769697;104164;84180;120120;22548;36668;20358;
1663595019763;46777527;113038;91587;126984;22544;36918;20514;
1663595019778;46786369;113851;114548;197340;69358;91432;112242;
1663595019794;46754940;126117;133095;153738;49133;78490;43680;
1663595019810;46765919;104273;84943;121758;22589;36748;20436;
1663595019825;46785083;105870;86152;135954;22544;37215;20670;
1663595019841;46761427;105185;86726;126126;22558;36824;20358;
1663595019856;46770445;104132;83633;125034;22558;37459;20826;
1663595019872;46766445;105068;85300;121446;22544;38191;21138;
1663595019888;46773671;104344;85077;123864;22544;37551;20826;
1663595019903;46784845;123976;117284;137904;44970;92226;51168;
1663595019919;46755381;118571;99589;177450;22589;38934;21684;
1663595019935;46773595;105904;89678;125424;22544;37528;20904;
1663595019950;46770885;98933;95456;125814;42718;85632;85020;
1663595019966;46773058;104456;85828;132834;21261;34600;19266;
1663595019981;46768855;104313;83881;130182;22558;36701;20514;
1663595019997;46765399;104265;84109;124644;22550;36853;20514;
1663595020013;46789861;73161;109888;139698;95217;108257;108966;
1663595020028;46743710;103897;83213;119886;21262;30417;16848;
1663595020044;46786989;114860;92752;136656;22544;36692;20358;
1663595020060;46755809;118889;99084;176748;22550;37510;20904;
1663595020075;46770685;104420;84834;122070;22544;38597;21450;
1663595020091;46785671;132388;115331;136344;47713;91247;50622;
1663595020106;46754362;220901;344489;265044;157052;287079;159666;
1663595020122;46764447;104234;91257;123084;147680;168033;93444;
1663595020138;46779597;104259;88087;132444;22634;39572;22074;
1663595020153;46761117;105897;87737;122928;22550;38421;21372;
1663595020169;46777515;104895;85347;129636;22544;37479;20826;
1663595020185;46801927;26220544;27067066;15145806;20228;32935;19734;
1663595020200;46731301;118511;100527;199290;22869;34243;27144;
1663595020216;46766025;105161;86092;120744;22593;36440;20202;
1663595020231;46768719;104172;84433;118482;22548;37650;20826;
1663595020247;46777245;104158;83062;124566;22544;36410;20280;
1663595020263;46786825;105985;86081;140010;22558;36182;20046;
1663595020278;46752185;104344;84023;121056;22550;36562;20358;
1663595020294;46773339;104277;85443;123318;22544;36330;20280;
1663595020310;46767511;104374;84129;119964;22544;36351;20280;
1663595020325;46777973;112993;91878;126984;22544;36876;20514;
1663595020341;46785499;119296;100011;195156;22544;36689;20358;
1663595020356;46750391;104268;83657;121212;22589;36991;20592;
1663595020372;46779677;100153;101421;131040;64479;92392;98670;
1663595020388;46789660;138073;140838;184548;25657973;26965869;14991210;
1663595020408;59490451;241474;22256006;12706044;33874;40923;34164;
1663595020423;46741875;104383;81414;143052;22778;34267;27924;
1663595020439;46754545;104375;82850;128076;22548;34851;23634;
1663595020454;46777235;112971;90977;130494;22558;36718;20358;
1663595020470;46760943;118558;99243;177216;22544;37388;20826;
1663595020486;46787255;105752;85836;135954;22544;37066;20592;
1663595020501;46764695;104795;84237;129870;22548;36688;20358;
1663595020517;46780121;69811;132205;149526;101361;112854;105534;
1663595020532;46756786;98441;109956;135642;44450;88632;83694;
1663595020548;46757388;107700;103889;140790;25915;42515;23556;
1663595020564;46766217;96055;96069;128700;41597;80974;93210;
1663595020579;46771173;104326;88156;129324;22499;38473;21372;
1663595020595;46772377;114379;99720;129792;22548;36391;20280;
1663595020611;46762449;120848;104505;184626;22558;39048;21684;
1663595020626;46770167;104108;84197;120432;22589;37295;20670;
1663595020642;46783015;96182;92011;132366;47600;85842;101556;
1663595020657;46761117;104871;83819;121992;22544;36914;20436;
1663595020673;46779503;104223;83823;130650;22544;36590;20358;
1663595020689;46760085;104152;83549;119184;22544;36789;20436;
1663595020704;46776281;105797;84821;124410;22544;36630;20280;
1663595020720;46767803;104115;83426;121056;22548;37403;20748;
1663595020736;46777883;112955;92261;127920;22563;36618;20280;
1663595020751;46768035;118973;100068;180648;22558;37185;20670;
1663595020767;46767921;104186;83309;121914;22589;36981;20514;
1663595020782;46776459;99879;99197;127842;64806;92011;97812;
1663595020798;46777770;126009;137786;163722;56035;89562;49686;
1663595020814;46771457;106436;84694;134940;22589;37035;20514;
1663595020829;46757545;104098;84242;121056;22558;36344;20280;
1663595020845;46773505;104410;83272;123318;22550;36520;20358;
1663595020861;46767525;104083;83633;119964;22544;36760;20436;
1663595020876;46777521;112786;90325;126750;22544;36730;20514;
1663595020892;46762775;118631;97697;173082;22544;36859;20436;
1663595020907;46774007;104242;82896;121446;22544;36081;20046;
1663595020923;46776623;105747;84902;126906;22544;36516;20280;
1663595020939;46776721;104454;87350;132444;22544;36668;20436;
1663595020954;46772567;98684;96459;133848;44315;85979;93678;
1663595020970;46758058;105077;87578;134862;21256;31347;17394;
1663595020986;46755545;104136;83681;119340;22558;37079;20592;
1663595021001;46772429;104151;83441;120822;22544;36274;20124;
1663595021017;46777261;112893;90598;126906;22558;36335;20202;
1663595021032;46784671;86909;128491;194610;95189;104705;102492;
1663595021048;46748886;103210;83473;123318;21268;30491;16926;
1663595021064;46765785;104054;84588;119418;22544;36668;20436;
1663595021079;46795399;104126;84419;144144;22558;36804;20514;
1663595021095;46758017;104372;82846;131664;22548;36271;20124;
