Time[sec],package0-bigcore-CPU0-INST_RETIRED.ANY,package0-bigcore-CPU0-CPU_CLK_UNHALTED.THREAD,package0-bigcore-CPU0-CPU_CLK_UNHALTED.REF_TSC,package0-bigcore-CPU0-DTLB_LOAD_MISSES.WALK_PENDING,package0-bigcore-CPU0-TOPDOWN.SLOTS:perf_metrics,package0-bigcore-CPU0-IDQ.DSB_UOPS:u0x2C,package0-bigcore-CPU0-L1D.REPLACEMENT,package0-bigcore-CPU0-L2_RQSTS.REFERENCES,package0-bigcore-CPU0-FP_ARITH_DISPATCHED.PORT_0:u0x43,package0-bigcore-CPU0-UOPS_EXECUTED.CORE,package0-bigcore-CPU0-PERF_METRICS.RETIRING,package0-bigcore-CPU0-PERF_METRICS.BAD_SPECULATION,package0-bigcore-CPU0-PERF_METRICS.FRONTEND_BOUND,package0-bigcore-CPU0-PERF_METRICS.BACKEND_BOUND,package0-bigcore-CPU0-PERF_METRICS.HEAVY_OPERATIONS,package0-bigcore-CPU0-PERF_METRICS.BRANCH_MISPREDICTS,package0-bigcore-CPU0-PERF_METRICS.FETCH_LATENCY,package0-bigcore-CPU0-PERF_METRICS.MEMORY_BOUND,package0-bigcore-CPU1-INST_RETIRED.ANY,package0-bigcore-CPU1-CPU_CLK_UNHALTED.THREAD,package0-bigcore-CPU1-CPU_CLK_UNHALTED.REF_TSC,package0-bigcore-CPU1-DTLB_LOAD_MISSES.WALK_PENDING,package0-bigcore-CPU1-TOPDOWN.SLOTS:perf_metrics,package0-bigcore-CPU1-IDQ.DSB_UOPS:u0x2C,package0-bigcore-CPU1-L1D.REPLACEMENT,package0-bigcore-CPU1-L2_RQSTS.REFERENCES,package0-bigcore-CPU1-FP_ARITH_DISPATCHED.PORT_0:u0x43,package0-bigcore-CPU1-UOPS_EXECUTED.CORE,package0-bigcore-CPU1-PERF_METRICS.RETIRING,package0-bigcore-CPU1-PERF_METRICS.BAD_SPECULATION,package0-bigcore-CPU1-PERF_METRICS.FRONTEND_BOUND,package0-bigcore-CPU1-PERF_METRICS.BACKEND_BOUND,package0-bigcore-CPU1-PERF_METRICS.HEAVY_OPERATIONS,package0-bigcore-CPU1-PERF_METRICS.BRANCH_MISPREDICTS,package0-bigcore-CPU1-PERF_METRICS.FETCH_LATENCY,package0-bigcore-CPU1-PERF_METRICS.MEMORY_BOUND,Frequency0,DTS0,DTS1,DTS2,DTS3,DTS5,ratio,Frequency[MHz],cycles
0.15800000000000125,2791814,2435551,3333267,16473,14282064,3203799,13672,46719,0,3753650,56,7,22,170,10,7,12,138,92031,111721,169029,3360,335184.0,103707.0,912.0,4463.0,0.0,3756438.0,77.0,26.0,110.0,41.0,14.0,25.0,83.0,26.0,1767.6606702073368,44.72,46.06,45.42,46.04,46.8,8.0,800.0,45256096900682.0
0.1739999999999995,120114,122707,221508,9508,651006,167478,2540,10084,0,315847,54,20,102,79,12,18,74,37,130992,99672,134253,8406,515820.0,122286.0,1442.0,7924.0,0.0,315569.0,63.0,25.0,137.0,30.0,9.0,24.0,109.0,15.0,1340.144709897611,44.28030303030303,45.75757575757576,45.40151515151515,45.68181818181818,46.43181818181818,8.303030303030303,830.3030303030303,119476117108985.0
0.18900000000000006,96763,87063,170919,7761,441366,122917,1772,7033,0,204904,65,14,86,90,16,11,56,36,61067,45476,61299,3414,194076.0,81034.0,514.0,1349.0,0.0,204633.0,89.0,23.0,104.0,39.0,19.0,20.0,63.0,13.0,1232.2960560265387,44.16393442622951,45.73770491803279,45.26229508196721,45.5,46.27049180327869,8.327868852459016,832.7868852459017,110424923576502.0
0.2050000000000054,113060,118765,223209,8709,475932,146703,2662,8607,0,264017,70,18,97,67,16,17,64,27,87985,104422,184653,8791,339774.0,129159.0,1964.0,6370.0,0.0,260102.0,77.0,27.0,118.0,37.0,19.0,25.0,80.0,17.0,1287.2074513124471,44.515151515151516,46.015151515151516,45.64393939393939,46.11363636363637,46.553030303030305,8.303030303030303,830.3030303030303,119476176529852.0
0.22100000000000364,105738,102254,196056,9811,534486,134840,2283,8833,0,216329,59,14,98,84,14,12,71,36,61498,45332,61047,3420,193782.0,80050.0,538.0,1428.0,0.0,215494.0,90.0,21.0,104.0,41.0,19.0,19.0,63.0,13.0,1261.7460154241646,44.31818181818182,45.96969696969697,45.583333333333336,45.95454545454545,46.61363636363637,8.0,800.0,119476207411756.0
0.2360000000000042,125326,133661,279468,10772,590298,165976,2837,10338,0,270242,63,17,103,66,15,15,72,24,80568,99747,178164,10546,316020.0,109629.0,1330.0,4309.0,0.0,266849.0,73.0,23.0,134.0,39.0,16.0,21.0,98.0,18.0,1157.029395852119,44.233870967741936,45.95967741935484,45.38709677419355,45.693548387096776,46.556451612903224,8.32258064516129,832.258064516129,112235253269859.0
0.25200000000000244,100005,106453,202671,9033,389778,125472,2285,7747,0,233855,76,16,101,51,18,15,65,19,77578,106455,182070,12882,349464.0,112913.0,1675.0,7297.0,0.0,233761.0,64.0,29.0,141.0,35.0,14.0,27.0,105.0,21.0,1270.685483369599,44.207692307692305,45.91538461538462,45.54615384615385,45.66153846153846,46.55384615384615,8.615384615384615,861.5384615384615,117666020592071.0
0.2680000000000007,124479,157668,267561,15755,577284,171590,3444,12964,0,299482,63,21,116,55,15,20,83,31,103964,123265,201474,9482,366690.0,143878.0,2364.0,8016.0,0.0,297660.0,82.0,27.0,119.0,26.0,19.0,26.0,78.0,14.0,1425.5830468566046,43.946969696969695,45.75,45.06818181818182,45.34090909090909,46.31818181818182,8.303030303030303,830.3030303030303,119476297707724.0
0.28300000000000125,100707,102765,191835,8279,416634,128238,2213,7495,0,240330,72,15,99,65,17,13,65,24,82417,90546,159516,9279,307248.0,116595.0,1622.0,5532.0,0.0,236326.0,79.0,26.0,120.0,36.0,19.0,24.0,80.0,15.0,1295.952709359606,44.00806451612903,45.806451612903224,45.314516129032256,45.54838709677419,46.24193548387097,8.161290322580646,816.1290322580645,112235338092314.0
0.2989999999999995,106129,106445,200970,8812,476358,140081,2456,8057,0,243030,66,17,97,74,16,15,65,30,80978,76702,137592,4641,272580.0,107380.0,1222.0,3316.0,0.0,242355.0,87.0,20.0,109.0,42.0,20.0,18.0,69.0,16.0,1281.3442006269593,44.03076923076923,45.34615384615385,45.16923076923077,45.56923076923077,46.207692307692305,8.153846153846153,815.3846153846154,117666109515865.0
